ax,ay,az,gx,gy,gz,label
0.101992,0.060024,-0.434381,0.14085864,0.10675808,0.35544704,1
0.08984375,0.02148438,0.9655762,-2.885496,-1.51145,-0.3053435,0
0.08276367,0.01904297,0.9589844,-2.587786,-1.618321,-0.3740458,0
0.07519531,0.01708984,0.9624023,-2.839695,-1.412214,-0.2671756,0
-0.036478,0.03739,-0.554795,0.1336478,0.10248,-0.1134796,1
0.06933594,0.01879883,0.9602051,-2.900763,-1.664122,-0.3053435,0
0.120414,-0.072651,-0.774822,-0.02165696,0.01073306,0.08026408,1
0.016775,0.014213,0.037637,-0.02406378,0.11563526,-1.13992658,1
0.062403,0.02934,-0.024766,-0.00067418,-0.013,0.00044122,1
0.1264648,0.1325684,0.3415527,-73.96183,6.755725,-57.90076,10
-0.023119,0.0586,0.018056,-0.00010166,-0.0035,0.00020644,1
0.07543945,0.01806641,0.9633789,-2.900763,-1.549618,-0.259542,0
-0.022021,0.0363,-0.099369,-0.00025298,0.02215,0.00015912,1
0.08251953,0.02075195,0.9592285,-2.763359,-1.473282,-0.389313,0
0.101992,0.060024,-0.434381,0.14085864,0.10675808,0.35544704,1
0.07763672,0.02001953,0.9575195,-2.572519,-1.671756,-0.2748091,0
-0.015494,0.028609,0.015494,2.028e-05,-0.006031,0.00014196,1
0.3137207,0.4118652,0.4787598,101.2366,-46.80916,-75.15267,10
-0.048922,0.063745,-0.629337,0.04199624,0.08587696,0.07166328,1
0.5422363,0.5917969,1.011719,-248.1832,102.7939,93.68702,10
0.7729492,-0.6535645,1.248291,153.3206,-57.19847,-77.75572,10
0.07128906,0.01757813,0.9597168,-2.755725,-1.671756,-0.259542,0
0.079849,-0.0271,0.089792,0.01456052,0.02215,-0.0701948,1
0.07861328,0.02124023,0.9577637,-2.916031,-1.641221,-0.4885496,0
0.08569336,0.01660156,0.9631348,-3.0,-1.564886,-0.3206107,0
0.08178711,0.02124023,0.9638672,-2.80916,-1.519084,-0.3358779,0
0.564189,0.474153,0.876936,0.02665962,0.08352838,-0.09489376,1
0.08081055,0.01660156,0.9628906,-2.778626,-1.564886,-0.1603053,0
0.0871582,0.02075195,0.9633789,-2.709924,-1.694656,-0.4427481,0
0.6745605,-0.05981445,1.161621,-248.1832,-20.90076,103.7252,10
0.4440918,-0.06860352,1.229492,164.313,-221.313,250.1298,10
0.08154297,0.02099609,0.9645996,-2.801527,-1.587786,-0.2748091,0
0.027023,0.135176,0.212524,-0.08271276,0.0107523,0.04062968,1
0.355569,-0.0409,-0.129808,0.01633632,0.33604,0.15122978,1
